asset_ticker,asset_type,query_keyword,news_category,title,description,source,published_at,sentiment,confidence,prob_negative,prob_positive,url,is_financial,financial_confidence,financial_label
SP500,Index,CATEGORY_BUSINESS,business,Dow jumps 400 points as stocks rebound for a second day after Trump calls off Greenland-related tariffs: Live updates - CNBC,Major U.S. stock averages immediately jumped after President Donald Trump said he would no longer impose his new Europe tariffs that were set to begin Feb. 1.,CNBC,2026-01-22T14:34:00Z,Positive,0.9547867178916932,0.0452132895588874,0.9547867178916932,https://www.cnbc.com/2026/01/21/stock-market-today-live-updates.html,1,0.9991418123245239,Financial
HO,Company,CATEGORY_BUSINESS,business,Monster Winter Storm Expected To Snarl Air Travel This Weekend - Forbes,A whopper snowstorm is expected to bring “life-threatening cold air” and dangerous travel conditions across a large swath of the United States this weekend.,Forbes,2026-01-22T14:19:00Z,Negative,0.9554492235183716,0.9554492235183716,0.0445507578551769,https://www.forbes.com/sites/suzannerowankelleher/2026/01/22/winter-snowstorm-weekend-airline-waivers/,0,0.0021877060644328594,Non-Financial
AIR,Company,CATEGORY_BUSINESS,business,Monster Winter Storm Expected To Snarl Air Travel This Weekend - Forbes,A whopper snowstorm is expected to bring “life-threatening cold air” and dangerous travel conditions across a large swath of the United States this weekend.,Forbes,2026-01-22T14:19:00Z,Negative,0.9554492235183716,0.9554492235183716,0.0445507578551769,https://www.forbes.com/sites/suzannerowankelleher/2026/01/22/winter-snowstorm-weekend-airline-waivers/,0,0.0021877060644328594,Non-Financial
UNKNOWN,Unknown,CATEGORY_BUSINESS,business,Jobless claims point to a more stable labor market - MarketWatch,,MarketWatch,2026-01-22T13:35:00Z,Positive,0.9792606234550476,0.0207393765449523,0.9792606234550476,https://www.marketwatch.com/story/jobless-claims-point-to-a-more-stable-labor-market-620c6e90,1,0.9991649389266968,Financial
TSLA,Company,CATEGORY_BUSINESS,business,"Gross Domestic Product, 3rd Quarter 2025 (Updated Estimate), GDP by Industry, and Corporate Profits (Revised) - Bureau of Economic Analysis (BEA) (.gov)","Real gross domestic product (GDP) increased at an annual rate of 4.4 percent in the third quarter of 2025 (July, August, and September), according to the updated estimate released by the U.S. Bureau of Economic Analysis. In the second quarter, real GDP increa…",Bea.gov,2026-01-22T13:30:00Z,Positive,0.9912678599357604,0.0087321624159812,0.9912678599357604,https://www.bea.gov/news/2026/gross-domestic-product-3rd-quarter-2025-updated-estimate-gdp-industry-and-corporate,1,0.9997650980949402,Financial
AIR,Company,CATEGORY_BUSINESS,business,Spirit Airlines is in deal talks with investment firm Castlelake as struggling carrier seeks path forward - CNBC,"Spirit Airlines is in talks with investment firm Castlelake for a potential takeover of the discount airline, which is in bankruptcy, CNBC has learned.",CNBC,2026-01-22T13:27:42Z,Negative,0.8733670115470886,0.8733670115470886,0.1266330182552337,https://www.cnbc.com/2026/01/22/spirit-airlines-deal-talks-castlelake.html,1,0.9997547268867493,Financial
HO,Company,CATEGORY_BUSINESS,business,Paramount Extends Deadline For Warner Bros. Discovery Shareholders To Back Hostile Bid - Deadline,"Paramount has extended the deadline for Warner Bros. Discovery shareholders to throw their support behind the company’s hostile takeover bid. The initial deadline of Wednesday has now been pushed to February 20, the company said in an SEC filing. Paramount CE…",Deadline,2026-01-22T13:13:00Z,Positive,0.7135607600212097,0.2864392697811126,0.7135607600212097,http://deadline.com/2026/01/paramount-extends-deadline-warner-bros-discovery-netflix-1236692082/,1,0.8836383819580078,Financial
TSLA,Company,CATEGORY_BUSINESS,business,"When the ultra rich hire family for their private investment firms, what to pay them can be tricky - CNBC","Even among the wealthiest families, the issue of salary is a loaded topic, according to advisors to family offices.",CNBC,2026-01-22T12:30:01Z,Negative,0.9611244797706604,0.9611244797706604,0.0388755314052104,https://www.cnbc.com/2026/01/22/ultra-rich-family-offices-payroll.html,1,0.9994301199913025,Financial
SP500,Index,CATEGORY_BUSINESS,business,"Procter & Gamble earnings top estimates, but shrinking demand weighs on sales - CNBC","Procter & Gamble topped Wall Street's estimates for its quarterly earnings, but the company's revenue was weaker than expected.",CNBC,2026-01-22T12:19:06Z,Negative,0.9556134343147278,0.9556134343147278,0.0443866029381752,https://www.cnbc.com/2026/01/22/procter-gamble-pg-q2-2026-earnings.html,1,0.9994420409202576,Financial
TSLA,Company,CATEGORY_BUSINESS,business,"Procter & Gamble earnings top estimates, but shrinking demand weighs on sales - CNBC","Procter & Gamble topped Wall Street's estimates for its quarterly earnings, but the company's revenue was weaker than expected.",CNBC,2026-01-22T12:19:06Z,Negative,0.9556134343147278,0.9556134343147278,0.0443866029381752,https://www.cnbc.com/2026/01/22/procter-gamble-pg-q2-2026-earnings.html,1,0.9994420409202576,Financial
