asset_ticker,asset_type,query_keyword,news_category,title,description,source,published_at,sentiment,confidence,prob_negative,prob_positive,url
SP500,Index,CATEGORY_BUSINESS,business,Dow jumps 400 points as stocks rebound for a second day after Trump calls off Greenland-related tariffs: Live updates - CNBC,Major U.S. stock averages immediately jumped after President Donald Trump said he would no longer impose his new Europe tariffs that were set to begin Feb. 1.,CNBC,2026-01-22T14:34:00Z,Positive,0.9547867178916931,0.04521328955888748,0.9547867178916931,https://www.cnbc.com/2026/01/21/stock-market-today-live-updates.html
HO,Company,CATEGORY_BUSINESS,business,Monster Winter Storm Expected To Snarl Air Travel This Weekend - Forbes,A whopper snowstorm is expected to bring “life-threatening cold air” and dangerous travel conditions across a large swath of the United States this weekend.,Forbes,2026-01-22T14:19:00Z,Negative,0.9554492235183716,0.9554492235183716,0.044550757855176926,https://www.forbes.com/sites/suzannerowankelleher/2026/01/22/winter-snowstorm-weekend-airline-waivers/
AIR,Company,CATEGORY_BUSINESS,business,Monster Winter Storm Expected To Snarl Air Travel This Weekend - Forbes,A whopper snowstorm is expected to bring “life-threatening cold air” and dangerous travel conditions across a large swath of the United States this weekend.,Forbes,2026-01-22T14:19:00Z,Negative,0.9554492235183716,0.9554492235183716,0.044550757855176926,https://www.forbes.com/sites/suzannerowankelleher/2026/01/22/winter-snowstorm-weekend-airline-waivers/
UNKNOWN,Unknown,CATEGORY_BUSINESS,business,Jobless claims point to a more stable labor market - MarketWatch,,MarketWatch,2026-01-22T13:35:00Z,Positive,0.9792606234550476,0.020739376544952393,0.9792606234550476,https://www.marketwatch.com/story/jobless-claims-point-to-a-more-stable-labor-market-620c6e90
TSLA,Company,CATEGORY_BUSINESS,business,"Gross Domestic Product, 3rd Quarter 2025 (Updated Estimate), GDP by Industry, and Corporate Profits (Revised) - Bureau of Economic Analysis (BEA) (.gov)","Real gross domestic product (GDP) increased at an annual rate of 4.4 percent in the third quarter of 2025 (July, August, and September), according to the updated estimate released by the U.S. Bureau of Economic Analysis. In the second quarter, real GDP increa…",Bea.gov,2026-01-22T13:30:00Z,Positive,0.9912678599357605,0.008732162415981293,0.9912678599357605,https://www.bea.gov/news/2026/gross-domestic-product-3rd-quarter-2025-updated-estimate-gdp-industry-and-corporate
AIR,Company,CATEGORY_BUSINESS,business,Spirit Airlines is in deal talks with investment firm Castlelake as struggling carrier seeks path forward - CNBC,"Spirit Airlines is in talks with investment firm Castlelake for a potential takeover of the discount airline, which is in bankruptcy, CNBC has learned.",CNBC,2026-01-22T13:27:42Z,Negative,0.8733670115470886,0.8733670115470886,0.12663301825523376,https://www.cnbc.com/2026/01/22/spirit-airlines-deal-talks-castlelake.html
HO,Company,CATEGORY_BUSINESS,business,Paramount Extends Deadline For Warner Bros. Discovery Shareholders To Back Hostile Bid - Deadline,"Paramount has extended the deadline for Warner Bros. Discovery shareholders to throw their support behind the company’s hostile takeover bid. The initial deadline of Wednesday has now been pushed to February 20, the company said in an SEC filing. Paramount CE…",Deadline,2026-01-22T13:13:00Z,Positive,0.7135607600212097,0.28643926978111267,0.7135607600212097,http://deadline.com/2026/01/paramount-extends-deadline-warner-bros-discovery-netflix-1236692082/
TSLA,Company,CATEGORY_BUSINESS,business,"When the ultra rich hire family for their private investment firms, what to pay them can be tricky - CNBC","Even among the wealthiest families, the issue of salary is a loaded topic, according to advisors to family offices.",CNBC,2026-01-22T12:30:01Z,Negative,0.9611244797706604,0.9611244797706604,0.038875531405210495,https://www.cnbc.com/2026/01/22/ultra-rich-family-offices-payroll.html
SP500,Index,CATEGORY_BUSINESS,business,"Procter & Gamble earnings top estimates, but shrinking demand weighs on sales - CNBC","Procter & Gamble topped Wall Street's estimates for its quarterly earnings, but the company's revenue was weaker than expected.",CNBC,2026-01-22T12:19:06Z,Negative,0.9556134343147278,0.9556134343147278,0.0443866029381752,https://www.cnbc.com/2026/01/22/procter-gamble-pg-q2-2026-earnings.html
TSLA,Company,CATEGORY_BUSINESS,business,"Procter & Gamble earnings top estimates, but shrinking demand weighs on sales - CNBC","Procter & Gamble topped Wall Street's estimates for its quarterly earnings, but the company's revenue was weaker than expected.",CNBC,2026-01-22T12:19:06Z,Negative,0.9556134343147278,0.9556134343147278,0.0443866029381752,https://www.cnbc.com/2026/01/22/procter-gamble-pg-q2-2026-earnings.html
SP500,Index,CATEGORY_BUSINESS,business,Elon Musk to Crash Davos Party - The Wall Street Journal,"Elon Musk is a surprise late addition to the World Economic Forum agenda. He is set to appear on Thursday at 10:30 a.m. ET on stage, interviewed by WEF chair and BlackRock boss Larry Fink.Musk has been a major critic of European politics and a supporter of ri…",The Wall Street Journal,2026-01-22T10:24:48Z,Negative,0.968508243560791,0.968508243560791,0.031491827219724655,https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-01-22-2026/card/elon-musk-to-crash-davos-party-vWiWyRgw9aJKysOBqnTZ
TSLA,Company,CATEGORY_BUSINESS,business,Elon Musk to Crash Davos Party - The Wall Street Journal,"Elon Musk is a surprise late addition to the World Economic Forum agenda. He is set to appear on Thursday at 10:30 a.m. ET on stage, interviewed by WEF chair and BlackRock boss Larry Fink.Musk has been a major critic of European politics and a supporter of ri…",The Wall Street Journal,2026-01-22T10:24:48Z,Negative,0.968508243560791,0.968508243560791,0.031491827219724655,https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-01-22-2026/card/elon-musk-to-crash-davos-party-vWiWyRgw9aJKysOBqnTZ
AIR,Company,CATEGORY_BUSINESS,business,Elon Musk to Crash Davos Party - The Wall Street Journal,"Elon Musk is a surprise late addition to the World Economic Forum agenda. He is set to appear on Thursday at 10:30 a.m. ET on stage, interviewed by WEF chair and BlackRock boss Larry Fink.Musk has been a major critic of European politics and a supporter of ri…",The Wall Street Journal,2026-01-22T10:24:48Z,Negative,0.968508243560791,0.968508243560791,0.031491827219724655,https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-01-22-2026/card/elon-musk-to-crash-davos-party-vWiWyRgw9aJKysOBqnTZ
AAPL,Company,CATEGORY_BUSINESS,business,"The rich are powering spending, with the U.S. economy in a danger zone - Axios",59% of all consumer spending now comes from the top 20% of income earners in the U.S.,Axios,2026-01-22T10:01:36Z,Positive,0.5740163922309875,0.42598357796669006,0.5740163922309875,https://www.axios.com/2026/01/22/jobs-stock-market-rich-americans
SP500,Index,CATEGORY_BUSINESS,business,"Guilty plea in $380 million Ponzi scheme, feds say - CBS News","A financial adviser in Georgia, Todd Burkhalter, has pleaded guilty in a Ponzi scheme that bilked more than 2,000 people out of $380 million, federal authorities say.",CBS News,2026-01-22T09:57:51Z,Negative,0.9640365242958069,0.9640365242958069,0.035963475704193115,https://www.cbsnews.com/news/ponzi-scheme-380-million-guilty-plea-todd-burkhalter/
